DocLabel,Speaker Label,Displayed Speaker Name,Full Speaker Name,First Turn,RangeFrom,RangeTo,Notes,,,,
gs024-1,B,,,,,,,,,,
gs024-1,C,,,,,,,,,,
gs025-1,A,Daniel,Daniel Friedman,00:07,,,,,,,
gs025-1,B,Brett,Brett P. Andersen,00:42,,,,,,,
gs026-1,A,Daniel,Daniel Friedman,00:06,,,,,,,
gs026-1,B,Ronen,Ronen Tamari,00:40,,,,,,,
gs026-1,C,Will,William Fischer,38:54,,,,,,,
gs027-1,A,Daniel,Daniel Friedman,00:09,,,,,,,
gs027-1,B,John,John Vervaeke,00:28,,,,,,,
gs028-1,A,Daniel,Daniel Friedman,00:08,,,,,,,
gs028-1,B,Giovanni,Giovanni Rolla,00:33,,,,,,,
gs029-1,A,Daniel,Daniel Friedman,00:07,,,,,,,
gs029-1,B,Shanna,Shanna Dobson,00:44,,,,,,,
gs030-1,A,Daniel,Daniel Friedman,00:06,,,,,,,
gs030-1,B,Kyrtin,Kyrtin Atreides,00:32,,,,,,,
gs031-1,A,Daniel,Daniel Friedman,00:06,,,,,,,
gs031-1,B,Brett,Brett Kagan,00:43,,,,,,,
gs031-1,C,Adeel,Adeel Razi,43:56,,,,,,,
gs032-1,A,Daniel,Daniel Friedman,,,,,,,,
gs032-1,B,Adam,Adam Pease,,,,,,,,
gs032-1,C,Dave,Dave Douglass,,,,,,,,
gs033-1,A,Daniel,Daniel Friedman,00:06,,,,,,,
gs033-1,B,Ronen,Ronen Tamari,00:40,,,,,,,
gs033-1,C,Will,William Fischer,38:54,,,,,,,
gs034-1,A,Alexi,Alexis Rozanski,00:00,53:22,,,,,,
gs034-1,B,Daniel,Daniel Friedman,00:06,,,,,,,
gs034-1,C,Avel,Avel Guénin-Carlut,00:46,,,,,,,
gs034-1,D,Maxwell,Maxwell Ramstead ,1:06:27,,,,,,,
gs035-1,A,Daniel,Daniel Friedman,00:05,,,,,,,
gs035-1,B,Jordan,Jordan Hall,00:41,,,,,,,
gs035-1,C,Matthew,Matthew Pirkowski,1:05:21,,,,,,,
gs036-1,A,Daniel,Daniel Friedman,00:05,,,,,,,
gs036-1,B,Ben,Benjamin Falandays,00:26,,,,,,,
gs037-1,A,Daniel,Daniel Friedman,00:07,,,,,,,
gs037-1,B,Baba,Baba Brinkman,00:34,,,,,,,
gs037-1,C,Baba rapping,Baba Brinkman rapping,05:04,,,,,,,
gs038-1,A,Daniel,Daniel Friedman,00:06,,,,,,,
gs038-1,B,Max,Max Berg,00:29,,,,,,,
gs039-1,A,Daniel,Daniel Friedman,00:07,,,,,,,
gs039-1,B,Eric,Eric Elmoznino,,,,,,,,
gs039-1,C,Xu,Xu Ji,,,,,,,,
gs039-1,D,Guillaume,Guillaume Dumas,52:08,,,,,,,
gs040-1,A,Daniel,Daniel Friedman,,,,,,,,
gs040-1,B,Wanja,Wanja Wiese,,,,,,,,
gs041-1,B,Daniel,Daniel Friedman,,,,,,,,
gs041-1,A,Elliot,Elliot Murphy,,,,,,,,
gs041-1,C,Steve,Steven Piantadosi,,,,,,,,
gs042-1,B,Daniel,Daniel Friedman,00:07,,,,,,,
gs042-1,C,Juan,Juan Diego Bogotá,00:38,,,,,,,
gs042-1,A,Zakaria,Zakaria Djebbara,15:47,,,,,,,
gs042-1,D,Dean,Dean Tickles,47:42,,,,,,,
gs042-1,E,Ali,Ali Rahmjoo,47:47,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
gsxxx,A,Daniel,,,,,,,,,
gsxxx,B,,,1,32,23,5552,,,,
gsxxx,C,,,,,,,,,,
ls001,A,Daniel,,,,,,,,,
ls001,B,,,,,,,,,,
ls001,C,,,,,,,,,,
ls002,A,Daniel,,,,,,,,,
ls002,B,,,,,,,,,,
ls002,C,,,,,,,,,,
ls003-1,A,Daniel,,,,,,,,,
ls003-1,B,,,,,,,,,,
