Series,Unique Event Name,Date,YouTube,Title or Name of Stream,Transcript,Github,Slides,Guests,Participants,Paper Link
GuestStream,GuestStream #022.1,4/26/2022,https://youtu.be/4VApGjFESlE,Dopamine Nation,,,,Anna Lembke,Daniel Friedman,“Dopamine Nation”
GuestStream,GuestStream #021.1,4/25/2022,https://youtu.be/_MH7E58zKxY,A proposal for deflating deflationary accounts of free will; consciousness and the readiness to act,,,,Adam Safron,Daniel Friedman,A proposal for deflating deflationary accounts of free will; consciousness and the readiness to act
GuestStream,GuestStream #020.1,4/21/2022,https://youtu.be/SwUzTlGNI2A,Coordination dynamics of multi‑agent interaction in a musical ensemble,,,,Shannon Proksch,Daniel Friedman,Coordination dynamics of multi‑agent interaction in a musical ensemble
GuestStream,GuestStream #019.1,3/25/2022,https://youtu.be/e_JGrt4jbhE,Extended Predictive Minds: do Markov Blankets Matter?,,,,Marco Faccin,Daniel Friedman,Extended Predictive Minds: do Markov Blankets Matter?
GuestStream,GuestStream #018.1,3/14/2022,https://youtu.be/9zq1JUnN_eg,"The Literalist Fallacy & the Free Energy Principle: Model-building, Scientific Realism and Instrumentalism",,,,"Ian Robertson,Michael Kirchhoff,Julian Kiverstein",Daniel Friedman,"The Literalist Fallacy & the Free Energy Principle: Model-building, Scientific Realism and Instrumentalism"
GuestStream,GuestStream #017.1,3/9/2022,https://youtu.be/aEYQCmFl1Bw,Epistemic Communities under Active Inference,,,,Mahault Albarracin,Daniel Friedman,Epistemic Communities under Active Inference
GuestStream,GuestStream #016.1,1/22/2022,https://youtu.be/NHfGuwoCXI8,Consciousness as Precision Optimization: Some Physiological and Philosophical Considerations,,,,Mark Solms,"Daniel Friedman,Stephen Sillett,Dave Douglass",Draft PDF
GuestStream,GuestStream #015.1,1/18/2022,https://youtu.be/_JCaic5Cxms,Universal Bayesianism: A New Kind of Theory of Everything,,,,Bobby Azarian,Daniel Friedman,
GuestStream,GuestStream #014.1,1/10/2022,https://youtu.be/mjL3cGYEMNg,"Osteopathy and Mental Health: An Embodied, Predictive, and Interoceptive Framework",,,,Jorge E Esteves,Daniel Friedman,
GuestStream,GuestStream #010.1,11/19/2021,https://youtu.be/Hvr-RgWZ7p4,The Cotard Delusion: Case Study of the Cognitive Architecture of Self Representation. A Pilot without a vessel,,,,Philip Gerrans,"Daniel Friedman,Dave Douglass",n/a
