Series,Unique Event Name,Date,YouTube,Title or Name of Stream,Transcript,Github,Slides,Guests,Participants,Paper Link
Livestream,Livestream #047.2,8/17/2022,https://youtu.be/riJYh87FPx4,"“Enactive-Dynamic Social Cognition and Active Inference”

“Active Inference and Abduction”",https://zenodo.org/record/7401974,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_047,https://docs.google.com/presentation/d/1YL_Smp5er1E6348t81gFqW1Fo7n8PWF2_W5Ys4SG_v4/edit#slide=id.gc77d90b7ef_1_17,Majid D Beni,,"“Enactive-Dynamic Social Cognition and Active Inference”

“Active Inference and Abduction”"
Livestream,Livestream #047.1,8/10/2022,https://youtu.be/riJYh87FPx4,"“Enactive-Dynamic Social Cognition and Active Inference”

“Active Inference and Abduction”",https://zenodo.org/record/7401974,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_047,https://docs.google.com/presentation/d/1YL_Smp5er1E6348t81gFqW1Fo7n8PWF2_W5Ys4SG_v4/edit#slide=id.gc77d90b7ef_1_17,,,"“Enactive-Dynamic Social Cognition and Active Inference”

“Active Inference and Abduction”"
Livestream,Livestream #047.0,8/3/2022,https://youtu.be/WKjqw3My_xM,"“Enactive-Dynamic Social Cognition and Active Inference”

“Active Inference and Abduction”",https://zenodo.org/record/7401974,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_047,https://docs.google.com/presentation/d/18wtQk1fHz-OdyddEiNzPzomX-g5eHq-Zp045LF4Rbwc/edit#slide=id.gc77d90b7ef_1_17,,,"“Enactive-Dynamic Social Cognition and Active Inference”

“Active Inference and Abduction”"
Livestream,Livestream #046.2,6/22/2022,https://youtu.be/7_YNInrALU8,Active inference models do not contradict folk psychology,https://zenodo.org/record/7402029,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_046,https://docs.google.com/presentation/d/1GHDffM2pWGKUF_jz0F6SO74lykUEz5dVdolLzG6CefI/edit?usp=sharing,,,Active inference models do not contradict folk psychology
Livestream,Livestream #046.1,6/15/2022,https://youtu.be/JPsdk7pVa1I,Active inference models do not contradict folk psychology,https://zenodo.org/record/7402029,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_046,https://docs.google.com/presentation/d/1GHDffM2pWGKUF_jz0F6SO74lykUEz5dVdolLzG6CefI/edit?usp=sharing,Alex Kiefer,,Active inference models do not contradict folk psychology
Livestream,Livestream #046.0,6/14/2022,https://youtu.be/skcKoCcAQJI,Active inference models do not contradict folk psychology,https://zenodo.org/record/7402029,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_046,https://docs.google.com/presentation/d/1uv1j-LtCyAms2nL6KKWlj-bS8hAwRSMXRG49UempOJU/edit?usp=sharing,Ryan Smith,,Active inference models do not contradict folk psychology
Livestream,Livestream #045.2,6/8/2022,https://youtu.be/S5-jXzhiG18,The free energy principle made simpler but not too simple,https://zenodo.org/record/7402034,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_045,https://docs.google.com/presentation/d/1645pSF7P5ag4QWUiC8X2RM5GFSgX_qfEFSuu1PI801U/edit?usp=sharing,"Karl J Friston,Thomas Parr",,The free energy principle made simpler but not too simple
Livestream,Livestream #045.1,6/1/2022,https://youtu.be/V0l9fOJgbtc,The free energy principle made simpler but not too simple,https://zenodo.org/record/7402034,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_045,https://docs.google.com/presentation/d/1645pSF7P5ag4QWUiC8X2RM5GFSgX_qfEFSuu1PI801U/edit?usp=sharing,"Karl J Friston,Thomas Parr",,The free energy principle made simpler but not too simple
Livestream,Livestream #045.0,5/27/2022,https://youtu.be/9MQQKaKEXs0,The free energy principle made simpler but not too simple,https://zenodo.org/record/7402034,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_045,https://docs.google.com/presentation/d/1pzkaclFNTQde6dIufAYaOOsShDIgCAeGiAMXOUAbryo/edit#slide=id.g12787e684c8_0_23,,,The free energy principle made simpler but not too simple
Livestream,Livestream #044.2,5/25/2022,https://youtu.be/9MQQKaKEXs0,Therapeutic Alliance as Active Inference: The Role of Therapeutic Touch and Synchrony,https://zenodo.org/record/7402036,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_044,https://docs.google.com/presentation/d/1RP04arJam1zMYzHqNvHDQ4KIWWYHxLeSleID-AowsY8/edit?usp=sharing,"Jorge E Esteves,Zoe McParlin","Ian Tennant,Daniel Friedman",Therapeutic Alliance as Active Inference: The Role of Therapeutic Touch and Synchrony
Livestream,Livestream #044.1,5/18/2022,https://youtu.be/y1vtKYzVUaY,Therapeutic Alliance as Active Inference: The Role of Therapeutic Touch and Synchrony,https://zenodo.org/record/7402036,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_044,https://docs.google.com/presentation/d/1RP04arJam1zMYzHqNvHDQ4KIWWYHxLeSleID-AowsY8/edit?usp=sharing,"Francesco Cerritelli,Jorge E Esteves,Zoe McParlin","Ian Tennant,Daniel Friedman",Therapeutic Alliance as Active Inference: The Role of Therapeutic Touch and Synchrony
Livestream,Livestream #044.0,5/13/2022,https://youtu.be/yNubOHOJeIQ,Therapeutic Alliance as Active Inference: The Role of Therapeutic Touch and Synchrony,https://zenodo.org/record/7402036,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_044,https://docs.google.com/presentation/d/1JHNwWzefJDFVgVRxxBcL0jA7-Oc4NRkPd0U1lgwTUQE/edit#slide=id.gc77d90b7ef_1_17,,"Ian Tennant,Daniel Friedman",Therapeutic Alliance as Active Inference: The Role of Therapeutic Touch and Synchrony
Livestream,Livestream #043.2,5/11/2022,https://youtu.be/X0Q6JLDYWJo,Predictive Coding: a Theoretical and Experimental Review,https://zenodo.org/record/7402040,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_043,https://docs.google.com/presentation/d/1GaqPIspg3sbaTGtl1sRtGoWGRI4b1SZPnV_aVBJyncM/edit#slide=id.gc77d90b7ef_1_17,,,Predictive Coding: a Theoretical and Experimental Review
Livestream,Livestream #043.1,5/4/2022,https://youtu.be/O4u8PRzk1vY,Predictive Coding: a Theoretical and Experimental Review,https://zenodo.org/record/7402040,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_043,https://docs.google.com/presentation/d/1GaqPIspg3sbaTGtl1sRtGoWGRI4b1SZPnV_aVBJyncM/edit#slide=id.gc77d90b7ef_1_17,,,Predictive Coding: a Theoretical and Experimental Review
Livestream,Livestream #043.0,5/2/2022,https://youtu.be/cLe-rBtRXiQ,Predictive Coding: a Theoretical and Experimental Review,https://zenodo.org/record/7402040,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_043,https://docs.google.com/presentation/d/1oKq-0hlKNV4b96roRFkf9GpmxYNZefE6U64DYAObLk8/edit?usp=sharing,,,Predictive Coding: a Theoretical and Experimental Review
Livestream,Livestream #042.2,4/27/2022,https://youtu.be/IXJn-BMsKVw,Robot navigation as hierarchical active inference,https://zenodo.org/record/7402231,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_042,https://docs.google.com/presentation/d/1IeCyfvFu2sLdf2TGPFUfwvs1zexe2O0fsklVJo5jbtk/edit?usp=sharing,Tim Verbelen,,Robot navigation as hierarchical active inference
Livestream,Livestream #042.1,4/20/2022,https://youtu.be/UUQIVqcI-yw,Robot navigation as hierarchical active inference,https://zenodo.org/record/7402231,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_042,https://docs.google.com/presentation/d/1IeCyfvFu2sLdf2TGPFUfwvs1zexe2O0fsklVJo5jbtk/edit?usp=sharing,"Tim Verbelen,Adam Safron",,Robot navigation as hierarchical active inference
Livestream,Livestream #042.0,4/18/2022,https://youtu.be/Dl6v-3COgCo,Robot navigation as hierarchical active inference,https://zenodo.org/record/7402231,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_042,https://docs.google.com/presentation/d/13BMv1gvrv5o3S_NTXQ53PWjiIOVnPuyPm-nJVBdutuo/edit?usp=sharing,,,Robot navigation as hierarchical active inference
Livestream,Livestream #041.2,4/13/2022,https://youtu.be/RB2axUYnE8I,Extended active inference: Constructing predictive cognition beyond skulls,https://zenodo.org/record/7402220,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_041,https://docs.google.com/presentation/d/1HYbuU6-RUIf6EFmwFCB-ap1EKOIzhv0PTV15iE6Cgpw/edit?usp=sharing,,,Extended active inference: Constructing predictive cognition beyond skulls
Livestream,Livestream #041.1,4/6/2022,https://youtu.be/H6rjjPZE5hs,Extended active inference: Constructing predictive cognition beyond skulls,https://zenodo.org/record/7402220,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_041,https://docs.google.com/presentation/d/1HYbuU6-RUIf6EFmwFCB-ap1EKOIzhv0PTV15iE6Cgpw/edit?usp=sharing,,,Extended active inference: Constructing predictive cognition beyond skulls
Livestream,Livestream #041.0,4/5/2022,https://youtu.be/VsOqIxNYpPQ,Extended active inference: Constructing predictive cognition beyond skulls,https://zenodo.org/record/7402220,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_041,https://docs.google.com/presentation/d/1_1_cAjUcc2Z8wuiLL89I7GFa6Ct9GoecV9Et96xjlyA/edit?usp=sharing,,,Extended active inference: Constructing predictive cognition beyond skulls
Livestream,Livestream #040.2,3/24/2022,https://youtu.be/Cgo-0UU848M,A free energy principle for generic quantum systems,,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_040,https://docs.google.com/presentation/d/1N1vzN15cloGYGqtlehOSIhOY1fx_iIHLhtXW78iJaLQ/edit?usp=sharing,,,A free energy principle for generic quantum systems
Livestream,Livestream #040.1,3/17/2022,https://youtu.be/NkJKl_yF274,A free energy principle for generic quantum systems,,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_040,https://docs.google.com/presentation/d/1N1vzN15cloGYGqtlehOSIhOY1fx_iIHLhtXW78iJaLQ/edit?usp=sharing,,,A free energy principle for generic quantum systems
Livestream,Livestream #040.0,3/10/2022,https://youtu.be/-qZYxSbJ38E,A free energy principle for generic quantum systems,,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_040,https://docs.google.com/presentation/d/1UFFCfvSdcJhC0fiLjQWcxwVyWa_Dk8fEXm5nadouVYI/edit?usp=sharing,,,A free energy principle for generic quantum systems
Livestream,Livestream #039.2,3/9/2022,https://youtu.be/KbyPFR7xUDo,Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems,https://zenodo.org/record/7402216,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_039,https://docs.google.com/presentation/d/1sB5f9Yhy9SKYGnK87AnpVAdYsoSOhdS0_ZohNaV9KZM/edit?usp=sharing,,,Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems
Livestream,Livestream #039.1,3/2/2022,https://youtu.be/R4C_DgP_khY,Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems,https://zenodo.org/record/7402216,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_039,https://docs.google.com/presentation/d/1sB5f9Yhy9SKYGnK87AnpVAdYsoSOhdS0_ZohNaV9KZM/edit?usp=sharing,,,Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems
Livestream,Livestream #039.0,2/25/2022,https://youtu.be/yC-hgjv3ANk,Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems,https://zenodo.org/record/7402216,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_039,https://docs.google.com/presentation/d/1I9V17zNi0uu1ntq4geqjhMzQrt_vIWgFWWRYV4IrV_s/edit?usp=sharing,,"Daniel Friedman,Dean Tickles",Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems
Livestream,Livestream #038.2,2/23/2022,https://youtu.be/0OQx04x8-zA,The evolution of brain architectures for predictive coding and active inference,https://zenodo.org/record/7402093,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_038,https://docs.google.com/presentation/d/1Aycvf8frmnWfdxDHuEqznsC0J15I-285rik4dg2YFSg/edit?usp=sharing,,,The evolution of brain architectures for predictive coding and active inference
Livestream,Livestream #038.1,2/16/2022,https://youtu.be/azwqMjgfY8Y,The evolution of brain architectures for predictive coding and active inference,https://zenodo.org/record/7402093,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_038,https://docs.google.com/presentation/d/1Aycvf8frmnWfdxDHuEqznsC0J15I-285rik4dg2YFSg/edit?usp=sharing,,,The evolution of brain architectures for predictive coding and active inference
Livestream,Livestream #038.0,2/16/2022,https://youtu.be/cOo4juE_zcI,The evolution of brain architectures for predictive coding and active inference,https://zenodo.org/record/7402093,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_038,https://docs.google.com/presentation/d/1p1yU2IltHntD47s7-0w9NgiRRZQATMymtZSNJOrpI7g/edit?usp=sharing,,,The evolution of brain architectures for predictive coding and active inference
Livestream,Livestream #037.2,2/9/2022,https://youtu.be/6WP7mY13lzc,Free Energy: A User’s Guide,https://zenodo.org/record/7402087,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_037,https://docs.google.com/presentation/d/1LZZ_6oUilg2tTQlRaVoJBtZlyQuZkcTirUV_wWWYqXk/edit?usp=sharing,,,Free Energy: A User’s Guide
Livestream,Livestream #037.1,2/2/2022,https://youtu.be/GHcpJ_bMuu4,Free Energy: A User’s Guide,https://zenodo.org/record/7402087,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_037,https://docs.google.com/presentation/d/1LZZ_6oUilg2tTQlRaVoJBtZlyQuZkcTirUV_wWWYqXk/edit?usp=sharing,,,Free Energy: A User’s Guide
Livestream,Livestream #037.0,2/2/2022,https://youtu.be/chpbMBgDR84,Free Energy: A User’s Guide,https://zenodo.org/record/7402087,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_037,https://docs.google.com/presentation/d/1fqjcWxFhHk6mpysqpefZkWfdtcGCmA2feRGwKkLg9_w/edit?usp=sharing,,,Free Energy: A User’s Guide
Livestream,Livestream #036.2,1/26/2022,https://youtu.be/Lo95GakwV5w,Modelling ourselves: what the free energy principle reveals about our implicit notions of representation,https://zenodo.org/record/7402083,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_036,https://docs.google.com/presentation/d/16IYls8swc9mfDswGOdtcFJXQ4KqBeJe2-Hjr7vMfubU/edit?usp=sharing,,,Modelling ourselves: what the free energy principle reveals about our implicit notions of representation
Livestream,Livestream #036.1,1/19/2022,https://youtu.be/Lo95GakwV5w,Modelling ourselves: what the free energy principle reveals about our implicit notions of representation,https://zenodo.org/record/7402083,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_036,https://docs.google.com/presentation/d/16IYls8swc9mfDswGOdtcFJXQ4KqBeJe2-Hjr7vMfubU/edit?usp=sharing,,,Modelling ourselves: what the free energy principle reveals about our implicit notions of representation
Livestream,Livestream #036.0,1/13/2022,https://youtu.be/cOo4juE_zcI,Modelling ourselves: what the free energy principle reveals about our implicit notions of representation,https://zenodo.org/record/7402083,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_036,https://docs.google.com/presentation/d/1HgDnUVBTNeCqHJA7IiqMDZlH4QZXOfe6qpWXH7VyNq0/edit#slide=id.gc77d90b7ef_1_17,,Daniel Friedman,Modelling ourselves: what the free energy principle reveals about our implicit notions of representation
Livestream,Livestream #035.2,1/12/2022,https://youtu.be/sQWSkDQvnqk,"A tale of two architectures free energy, its models, and modularity",https://zenodo.org/record/7402080,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_035,https://docs.google.com/presentation/d/1dpZxGx7tl8Uv2EmAvMOWceD-JPlLsN2YsZMlVpXwt8A/edit?usp=sharing,,,"A tale of two architectures free energy, its models, and modularity"
Livestream,Livestream #035.1,1/5/2022,https://youtu.be/RoMCBXy-7E0,"A tale of two architectures free energy, its models, and modularity",https://zenodo.org/record/7402080,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_035,https://docs.google.com/presentation/d/1dpZxGx7tl8Uv2EmAvMOWceD-JPlLsN2YsZMlVpXwt8A/edit?usp=sharing,,,"A tale of two architectures free energy, its models, and modularity"
Livestream,Livestream #035.0,1/4/2022,https://www.youtube.com/watch?v=e-Ck8sxCME0,"A tale of two architectures free energy, its models, and modularity",https://zenodo.org/record/7402080,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_035,https://docs.google.com/presentation/d/1u0jY266wPMqr4VWonvAy_SPmQXzCFT9pvlXYWostHFU/edit#slide=id.gc77d90b7ef_1_17,,,"A tale of two architectures free energy, its models, and modularity"
Livestream,Livestream 2021 Review,12/23/2021,https://youtu.be/4hTT6fUTMM8,End of 2021 Review,,,https://docs.google.com/presentation/d/168Eb2Ct0794gPsoyx2BgOKUdvJ6dMjKO3OHR4nGqj2M/edit?usp=sharing,,,
Livestream,Livestream #032.3,12/16/2021,https://youtu.be/-Y4OVfbxlMM,Stochastic Chaos and Markov Blankets,,,https://docs.google.com/presentation/d/1lEH4cWzQWm3hASHghG0Q1VlTsspesEBie9vXd8a5oAk/edit?usp=sharing,Conor Heins,"Daniel Friedman,Dean Tickles",Stochastic Chaos and Markov Blankets
Livestream,Livestream #034.2,12/14/2021,https://youtu.be/vkZ_vnN0--Y,"The free energy principle: it’s not about what it takes, it’s about what took you there",,,https://docs.google.com/presentation/d/1DCfJOtbudZSVp_X9AafOzPUMnf674ikfgpQnez7LUBs/edit?usp=sharing,,,"The free energy principle: it’s not about what it takes, it’s about what took you there"
Livestream,Livestream #034.1,12/7/2021,https://youtu.be/JtXvkawQ1rY,"The free energy principle: it’s not about what it takes, it’s about what took you there",,,https://docs.google.com/presentation/d/1DCfJOtbudZSVp_X9AafOzPUMnf674ikfgpQnez7LUBs/edit?usp=sharing,,,"The free energy principle: it’s not about what it takes, it’s about what took you there"
Livestream,Livestream #034.0,12/3/2021,https://youtu.be/Ga8EZMGO460,"The free energy principle: it’s not about what it takes, it’s about what took you there",,,https://docs.google.com/presentation/d/1DCfJOtbudZSVp_X9AafOzPUMnf674ikfgpQnez7LUBs/edit?usp=sharing,,"Daniel Friedman,Dean Tickles","The free energy principle: it’s not about what it takes, it’s about what took you there"
Livestream,Livestream #033.2,11/30/2021,https://youtu.be/S5nXqPysU3I,Thinking like a State - Embodied intelligence in the deep history of our collective minds,,,https://docs.google.com/presentation/d/1b07eOtKdPeVbvzRh-_ypvkI8zvaLbLqJMoeDDlKlwts/edit#slide=id.gc77d90b7ef_1_17,,"Daniel Friedman,Dean Tickles,Stephen Sillett,Dave Douglass",Thinking like a State - Embodied intelligence in the deep history of our collective minds
Livestream,Livestream #033.1,11/23/2021,https://youtu.be/LQuXltGQ8Xk,Thinking like a State - Embodied intelligence in the deep history of our collective minds,,,https://docs.google.com/presentation/d/1b07eOtKdPeVbvzRh-_ypvkI8zvaLbLqJMoeDDlKlwts/edit#slide=id.gc77d90b7ef_1_17,"Avel GUÉNIN--CARLUT ","Daniel Friedman,Bleu Knight,Dean Tickles,Stephen Sillett",Thinking like a State - Embodied intelligence in the deep history of our collective minds
Livestream,Livestream #033.0,11/18/2021,https://youtu.be/iIfDvVRgsjQ,Thinking like a State - Embodied intelligence in the deep history of our collective minds,,,https://docs.google.com/presentation/d/1rFEHG5Pk_ZxJTlB29dpbcFVBHzraR-_uvjc0EhhNVSo/edit?usp=sharing,,"Bleu Knight,Avel GUÉNIN--CARLUT ,Stephen Sillett,Daniel Friedman",Thinking like a State - Embodied intelligence in the deep history of our collective minds
Livestream,Livestream #032.2,11/16/2021,https://youtu.be/ElKVfCJrIHM,Stochastic Chaos and Markov Blankets,,,https://docs.google.com/presentation/d/1lEH4cWzQWm3hASHghG0Q1VlTsspesEBie9vXd8a5oAk/edit?usp=sharing,,"Daniel Friedman,Dean Tickles,Stephen Sillett",Stochastic Chaos and Markov Blankets
Livestream,Livestream #032.1,11/9/2021,https://youtu.be/wqoeyrW2Yqg,Stochastic Chaos and Markov Blankets,,,https://docs.google.com/presentation/d/1lEH4cWzQWm3hASHghG0Q1VlTsspesEBie9vXd8a5oAk/edit?usp=sharing,,"Daniel Friedman,Stephen Sillett,Dean Tickles",Stochastic Chaos and Markov Blankets
Livestream,Livestream #032.0,11/7/2021,https://youtu.be/7_JLMK3agpA,Stochastic Chaos and Markov Blankets,,,https://docs.google.com/presentation/d/1hC5Q-S-25OX54bQLEbYjRq-5p-qlNdFBlrBOwJVJfag/edit?usp=sharing,,Daniel Friedman,Stochastic Chaos and Markov Blankets
Livestream,Livestream #031.2,10/26/2021,https://www.youtube.com/watch?v=GYJ0UC6ykxk&t=1906s,Non-equilibrium thermodynamics and the free energy principle in biology,,,https://docs.google.com/presentation/d/1qpcIiX_iFqL6VLLx-_YQ5-x7l54glk3zGbJYZPyTXME/edit#slide=id.gc77d90b7ef_1_17,,"Daniel Friedman,Bleu Knight,Stephen Sillett,Dave Douglass",Non-equilibrium thermodynamics and the free energy principle in biology
Livestream,Livestream #031.1,10/19/2021 7:00 AM,https://youtu.be/4XR8mIw9gcc,Non-equilibrium thermodynamics and the free energy principle in biology,,,https://docs.google.com/presentation/d/1qpcIiX_iFqL6VLLx-_YQ5-x7l54glk3zGbJYZPyTXME/edit?usp=sharing,,"Daniel Friedman,Bleu Knight,Stephen Sillett,Maxwell Ramstead",Non-equilibrium thermodynamics and the free energy principle in biology
Livestream,Livestream #031.0,10/14/2021 10:30 AM,https://youtu.be/imPNfqsHbjI,Non-equilibrium thermodynamics and the free energy principle in biology,,,https://docs.google.com/presentation/d/1WXRrDTGpfvMYeK9B3P3gWPvD4MgUkxpTVhS0I4vIepo/edit?usp=sharing,,"Daniel Friedman,Bleu Knight",Non-equilibrium thermodynamics and the free energy principle in biology
Livestream,Livestream #030.2,10/12/2021 7:00 AM,https://youtu.be/VXLNOfkH5Rg,"How to count biological minds: symbiosis, the free energy principle, and reciprocal multiscale integration",,,https://docs.google.com/presentation/d/1hDJF-_ncrCbv9W8_A04hD27zoXxI3xOjOlmKTZqq2lY/edit?usp=sharing,,"Daniel Friedman,Stephen Sillett,Dave Douglass,Bleu Knight","How to count biological minds: symbiosis, the free energy principle, and reciprocal multiscale integration"
Livestream,Livestream #030.1,10/5/2021 7:00 AM,https://youtu.be/5H164LqEwiA,"How to count biological minds: symbiosis, the free energy principle, and reciprocal multiscale integration",,,https://docs.google.com/presentation/d/1hDJF-_ncrCbv9W8_A04hD27zoXxI3xOjOlmKTZqq2lY/edit?usp=sharing,Matt Sims,"Daniel Friedman,Bleu Knight,Stephen Sillett,Shannon Proksch,Dave Douglass","How to count biological minds: symbiosis, the free energy principle, and reciprocal multiscale integration"
Livestream,Livestream #030.0,10/1/2021,https://youtu.be/N3WUpVH8-D8,"How to count biological minds: symbiosis, the free energy principle, and reciprocal multiscale integration",,,https://docs.google.com/presentation/d/1lm28QgwxyY4CklxCsa3kVbEQqgLtaApsOXZxY_m3u9Y/edit?usp=sharing,,"Daniel Friedman,Bleu Knight","How to count biological minds: symbiosis, the free energy principle, and reciprocal multiscale integration"
Livestream,Livestream #029.2,9/28/2021,https://youtu.be/Z4S5JVoeGBw,Active Inferants: An Active Inference Framework for Ant Colony Behavior,,,https://docs.google.com/presentation/d/1BcZZ02Hv5DdnWgLA4oasYODdBypBnrrtlyaazyhDgjU/edit?usp=sharing,,"Daniel Friedman,Bleu Knight,Stephen Sillett",Active Inferants: An Active Inference Framework for Ant Colony Behavior
Livestream,Livestream #029.1,9/21/2021,https://youtu.be/Z4S5JVoeGBw,Active Inferants: An Active Inference Framework for Ant Colony Behavior,,,https://docs.google.com/presentation/d/1BcZZ02Hv5DdnWgLA4oasYODdBypBnrrtlyaazyhDgjU/edit?usp=sharing,Maxwell Ramstead,"Bleu Knight,Daniel Friedman,Stephen Sillett",Active Inferants: An Active Inference Framework for Ant Colony Behavior
Livestream,Livestream #029.0,9/17/2021,https://youtu.be/SNbfAkOokAI,Active Inferants: An Active Inference Framework for Ant Colony Behavior,,,https://docs.google.com/presentation/d/1wqFTPXqr0zD71i3Xc6VeM--Wic1I63EZtb9Hwv9WM84/edit?usp=sharing,,"Daniel Friedman,Bleu Knight",Active Inferants: An Active Inference Framework for Ant Colony Behavior
Livestream,Livestream #028.2,9/14/2021,https://youtu.be/sEyNwzUuiII,Towards a computational phenomenology of mental action: modelling meta-awareness and attentional control with deep parametric active inference,,,https://docs.google.com/presentation/d/1MYVwtaEqwl3vafSpQ7T24IRy4i25cGl7SFdpOlK2VHs/edit?usp=sharing,,"Daniel Friedman,Dave Douglass,Dean Tickles,Stephen Sillett,Bleu Knight",Towards a computational phenomenology of mental action: modelling meta-awareness and attentional control with deep parametric active inference
Livestream,Livestream #028.1,9/7/2021,https://youtu.be/eX5jt3HP27c,Towards a computational phenomenology of mental action: modelling meta-awareness and attentional control with deep parametric active inference,,,https://docs.google.com/presentation/d/1MYVwtaEqwl3vafSpQ7T24IRy4i25cGl7SFdpOlK2VHs/edit?usp=sharing,Lars Sandved-Smith,"Daniel Friedman,Dean Tickles,Dave Douglass,Scott David,Bleu Knight,Stephen Sillett",Towards a computational phenomenology of mental action: modelling meta-awareness and attentional control with deep parametric active inference
Livestream,Livestream #028.0,9/6/2021,https://youtu.be/sjdjRJMRVfw,Towards a computational phenomenology of mental action: modelling meta-awareness and attentional control with deep parametric active inference,,,https://docs.google.com/presentation/d/1JZ_nZZVNIr2ORPsOf2Ek89C7mP1PfllJcY45vzSFAqc/edit?usp=sharing,,"Daniel Friedman,Dean Tickles,Bleu Knight,Stephen Sillett",Towards a computational phenomenology of mental action: modelling meta-awareness and attentional control with deep parametric active inference
Livestream,Livestream #027.2,8/31/2021,https://youtu.be/MWWV3U-Llk4,Active Inference: Applicability to Different Types of Social Organization Explained through Reference to Industrial Engineering and Quality Management,,,https://docs.google.com/presentation/d/1Z9V82S7GQGXk2Hflx9Rk2W6szrVP2CuGRdtS309b9Kg/edit?usp=sharing,Stephen Fox,"Daniel Friedman,Stephen Sillett,Bleu Knight",Active Inference: Applicability to Different Types of Social Organization Explained through Reference to Industrial Engineering and Quality Management
Livestream,Livestream #027.1,8/24/2021,https://youtu.be/Oq2oM55OKzE,Active Inference: Applicability to Different Types of Social Organization Explained through Reference to Industrial Engineering and Quality Management,,,https://docs.google.com/presentation/d/1Z9V82S7GQGXk2Hflx9Rk2W6szrVP2CuGRdtS309b9Kg/edit?usp=sharing,Stephen Fox,"Daniel Friedman,Dean Tickles,Stephen Sillett,Bleu Knight,Scott David",Active Inference: Applicability to Different Types of Social Organization Explained through Reference to Industrial Engineering and Quality Management
